# Torpedo AUV simulation export
# L = 1.6
# diam = 0.19
# massa = 31.029384975800244
# Cd = 0.42
# r44 = 0.3
# T_surge = 20
# T_sway = 20
# T_heave = 20
# zeta_roll = 0.3
# zeta_pitch = 0.8
# T_yaw = 1
# K_nomoto = 0.25
# T_nomoto = 1
# wn_d = 0.1
# zeta_d = 1
# r_max = 0.08726646259971647
# lam = 0.1
# phi_b = 0.1
# K_d = 0.5
# K_sigma = 0.05
# wn_d_z = 0.02
# Kp_z = 0.1
# T_z = 100.0
# Kp_theta = 5.0
# Kd_theta = 2.0
# Ki_theta = 0.3
# K_w = 5.0
# ref_z = 0
# ref_psi = 0
# ref_n = 0
# V_c = 0
# beta_c = 0.0
# fin_CL = [0.5, 0.5, 0.7, 0.7]
# fin_area = [0.00665, 0.00665, 0.00665, 0.00665]
# thruster_nMax = 1525
#
t_s,x_north_m,y_east_m,z_depth_m,phi_rad,theta_rad,psi_rad,u_ms,v_ms,w_ms,p_rads,q_rads,r_rads,delta_r_top_rad,delta_r_bottom_rad,delta_s_star_rad,delta_s_port_rad,n_cmd_rpm,delta_r_top_actual_rad,delta_r_bottom_actual_rad,delta_s_star_actual_rad,delta_s_port_actual_rad,n_actual_rpm
0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0,0,0,0,0
0.0200,0,0,0,0,0,0,0,0,0,0,0,0,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.0174533,-0.0174533,0.0174533,-0.0174533,305
0.0400,5.26187e-05,2.70176e-07,0,2.63246e-05,-4.37353e-06,0,0.00263093,1.35088e-05,0,0.00131623,-0.000218677,0,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.0314159,-0.0314159,0.0314159,-0.0314159,549
0.0600,0.000275364,1.38871e-06,8.92603e-10,0.000135336,-2.27597e-05,-3.3928e-10,0.0111373,5.59268e-05,-5.55135e-09,0.00545057,-0.000919311,7.23651e-09,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.042586,-0.042586,0.042586,-0.042586,744.2
0.0800,0.000809411,3.99724e-06,1.13583e-08,0.000389642,-6.64807e-05,-3.37568e-09,0.0267023,0.000130426,-1.02107e-07,0.0127153,-0.00218605,1.44031e-07,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.0515221,-0.0515221,0.0515221,-0.0515221,900.36
0.1000,0.00179639,8.66639e-06,6.59519e-08,0.000845043,-0.000146556,-1.54718e-08,0.0493489,0.000233457,-6.42033e-07,0.02277,-0.00400375,9.55224e-07,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.058671,-0.058671,0.058671,-0.058671,1025.29
0.1200,0.00336631,1.58293e-05,2.53291e-07,0.00154414,-0.000272692,-4.66614e-08,0.0784959,0.000358145,-2.43973e-06,0.0349548,-0.00630683,3.77006e-06,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.0643901,-0.0643901,0.0643901,-0.0643901,1125.23
0.1400,0.00563214,2.57561e-05,7.48881e-07,0.00251397,-0.000452857,-1.06409e-07,0.113292,0.000496334,-6.88066e-06,0.0484916,-0.00900822,1.09226e-05,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.0689654,-0.0689654,0.0689654,-0.0689654,1205.18
0.1600,0.00868828,3.85519e-05,1.84659e-06,0.00376602,-0.000693175,-1.9555e-07,0.152807,0.00063977,-1.59226e-05,0.0626025,-0.0120159,2.57505e-05,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.0726256,-0.0726256,0.0726256,-0.0726256,1269.15
0.1800,0.0126111,5.41686e-05,3.98436e-06,0.0052975,-0.00099801,-2.95562e-07,0.19614,0.000780757,-3.20109e-05,0.0765739,-0.0152417,5.24001e-05,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.0755538,-0.0755538,0.0755538,-0.0755538,1320.32
