# Torpedo AUV simulation export
# L = 1.6
# diam = 0.19
# massa = 31.029384975800244
# Cd = 0.25
# r44 = 0.3
# T_surge = 20
# T_sway = 20
# T_heave = 20
# zeta_roll = 0.3
# zeta_pitch = 0.8
# T_yaw = 1
# K_nomoto = 0.25
# T_nomoto = 1
# wn_d = 0.1
# zeta_d = 1
# r_max = 0.08726646259971647
# lam = 0.1
# phi_b = 0.1
# K_d = 0.5
# K_sigma = 0.05
# wn_d_z = 0.02
# Kp_z = 0.1
# T_z = 100.0
# Kp_theta = 5.0
# Kd_theta = 2.0
# Ki_theta = 0.3
# K_w = 5.0
# ref_z = 0
# ref_psi = 0
# ref_n = 0
# V_c = 0
# beta_c = 0.0
# fin_CL = [0.5, 0.5, 0.7, 0.7]
# fin_area = [0.00665, 0.00665, 0.00665, 0.00665]
# thruster_nMax = 1525
#
t_s,x_north_m,y_east_m,z_depth_m,phi_rad,theta_rad,psi_rad,u_ms,v_ms,w_ms,p_rads,q_rads,r_rads,delta_r_top_rad,delta_r_bottom_rad,delta_s_star_rad,delta_s_port_rad,n_cmd_rpm,delta_r_top_actual_rad,delta_r_bottom_actual_rad,delta_s_star_actual_rad,delta_s_port_actual_rad,n_actual_rpm
0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0,0,0,0,0
0.0200,0,0,0,0,0,0,0,0,0,0,0,0,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.0174533,-0.0174533,0.0174533,-0.0174533,305
0.0400,5.26187e-05,2.70176e-07,0,2.63246e-05,-4.37353e-06,0,0.00263093,1.35088e-05,0,0.00131623,-0.000218677,0,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.0314159,-0.0314159,0.0314159,-0.0314159,549
0.0600,0.000275365,1.38871e-06,8.92604e-10,0.000135336,-2.27598e-05,-3.3928e-10,0.0111373,5.59268e-05,-5.55135e-09,0.00545057,-0.000919312,7.23651e-09,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.042586,-0.042586,0.042586,-0.042586,744.2
0.0800,0.000809415,3.99724e-06,1.13584e-08,0.000389642,-6.64811e-05,-3.37572e-09,0.0267025,0.000130426,-1.02107e-07,0.0127153,-0.00218607,1.44031e-07,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.0515221,-0.0515221,0.0515221,-0.0515221,900.36
0.1000,0.00179642,8.66639e-06,6.59539e-08,0.000845043,-0.000146558,-1.54725e-08,0.0493502,0.000233457,-6.42044e-07,0.02277,-0.00400386,9.55232e-07,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.058671,-0.058671,0.058671,-0.058671,1025.29
0.1200,0.00336644,1.58293e-05,2.53309e-07,0.00154414,-0.000272703,-4.66669e-08,0.078501,0.000358145,-2.43986e-06,0.0349547,-0.00630725,3.77017e-06,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.0643901,-0.0643901,0.0643901,-0.0643901,1125.23
0.1400,0.00563256,2.57561e-05,7.48986e-07,0.00251397,-0.000452892,-1.06436e-07,0.113306,0.000496333,-6.88153e-06,0.0484916,-0.00900941,1.09233e-05,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.0689654,-0.0689654,0.0689654,-0.0689654,1205.18
0.1600,0.00868939,3.85519e-05,1.84703e-06,0.00376602,-0.000693266,-1.95646e-07,0.152841,0.000639768,-1.59265e-05,0.0626024,-0.0120187,2.57541e-05,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.0726256,-0.0726256,0.0726256,-0.0726256,1269.15
0.1800,0.0126136,5.41684e-05,3.98587e-06,0.00529749,-0.000998215,-2.95836e-07,0.19621,0.000780752,-3.20242e-05,0.0765736,-0.0152474,5.24125e-05,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.0755538,-0.0755538,0.0755538,-0.0755538,1320.32
