# Torpedo AUV simulation export
# L = 1.6
# diam = 0.19
# massa = 31.029384975800244
# Cd = 0.42
# r44 = 0.3
# T_surge = 20
# T_sway = 20
# T_heave = 20
# zeta_roll = 0.3
# zeta_pitch = 0.8
# T_yaw = 1
# K_nomoto = 0.25
# T_nomoto = 1
# wn_d = 0.1
# zeta_d = 1
# r_max = 0.08726646259971647
# lam = 0.1
# phi_b = 0.1
# K_d = 0.5
# K_sigma = 0.05
# wn_d_z = 0.02
# Kp_z = 0.1
# T_z = 100.0
# Kp_theta = 5.0
# Kd_theta = 2.0
# Ki_theta = 0.3
# K_w = 5.0
# ref_z = 30.0
# ref_psi = 45.0
# ref_n = 1525
# V_c = 0.5
# beta_c = 0.0
# fin_CL = [0.5, 0.5, 0.7, 0.7]
# fin_area = [0.00665, 0.00665, 0.00665, 0.00665]
# thruster_nMax = 1525
# current_model_type = ConstantCurrent
#
t_s,x_north_m,y_east_m,z_depth_m,phi_rad,theta_rad,psi_rad,u_ms,v_ms,w_ms,p_rads,q_rads,r_rads,delta_r_top_rad,delta_r_bottom_rad,delta_s_star_rad,delta_s_port_rad,n_cmd_rpm,delta_r_top_actual_rad,delta_r_bottom_actual_rad,delta_s_star_actual_rad,delta_s_port_actual_rad,n_actual_rpm
0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0.0059988,0.0059988,1525,0,0,0,0,0
0.0200,0.000663683,0,0.000150868,0,-5.51637e-05,0,0.0331842,0,0.00754339,0,-0.00275818,0,6.28319e-05,-6.28319e-05,-0.0438529,0.0438529,1525,0,0,-0.00119976,0.00119976,305
0.0400,0.00195499,2.59983e-07,0.000427905,2.53315e-05,-0.000160936,3.28329e-24,0.0645663,1.29991e-05,0.0138483,0.00126657,-0.00528863,1.64164e-22,0.000128051,-0.000128051,-0.0756596,0.0756596,1525,1.25664e-05,-1.25664e-05,-0.0097304,0.0097304,549
0.0600,0.00391043,1.33259e-06,0.000810408,0.000130113,-0.00031918,-1.03258e-09,0.097775,5.41143e-05,0.0191094,0.00523906,-0.0079122,1.48799e-07,0.000194941,-0.000194941,-0.101751,0.101751,1525,3.56634e-05,-3.56634e-05,-0.0229162,0.0229162,744.2
0.0800,0.00659068,3.82431e-06,0.00127947,0.000374303,-0.000533755,-8.93292e-09,0.13402,0.000127632,0.0234103,0.0122095,-0.0107287,1.00092e-06,0.000260844,-0.000260844,-0.122336,0.122336,1525,6.75189e-05,-6.75189e-05,-0.0386832,0.0386832,900.36
0.1000,0.010057,8.26721e-06,0.00181757,0.000811207,-0.00080836,-3.94031e-08,0.173331,0.000232182,0.0268122,0.0218452,-0.0137303,3.61576e-06,0.000320697,-0.000320697,-0.137724,0.137724,1525,0.000106184,-0.000106184,-0.0554137,0.0554137,1025.29
0.1200,0.0143615,1.50603e-05,0.0024088,0.00148144,-0.00114566,-1.22866e-07,0.215251,0.000363505,0.0293874,0.0335116,-0.0168649,9.50782e-06,0.000367274,-0.000367274,-0.148378,0.148378,1525,0.000149086,-0.000149086,-0.0718758,0.0718758,1125.23
0.1400,0.0195448,2.44527e-05,0.00303932,0.00241076,-0.00154709,-3.07798e-07,0.259201,0.000515912,0.0312281,0.0464661,-0.0200714,2.04879e-05,0.000391959,-0.000391959,-0.154878,0.154878,1525,0.000192724,-0.000192724,-0.0871762,0.0871762,1205.18
0.1600,0.0256369,3.65482e-05,0.00369764,0.00361014,-0.002013,-6.62092e-07,0.304654,0.000683085,0.0324436,0.0599691,-0.0232957,3.84458e-05,0.000385788,-0.000385788,-0.157884,0.157884,1525,0.000232571,-0.000232571,-0.100717,0.100717,1269.15
0.1800,0.0326598,5.13206e-05,0.00437494,0.00507704,-0.00254297,-1.27277e-06,0.351211,0.000858553,0.0331548,0.073345,-0.0264986,6.513e-05,0.000340506,-0.000340506,-0.158083,0.158083,1525,0.000263214,-0.000263214,-0.11215,0.11215,1320.32
0.2000,0.0406304,6.86304e-05,0.00506508,0.00679727,-0.00313611,-2.2448e-06,0.398616,0.00103603,0.0334888,0.0860111,-0.0296567,0.000101968,0.000249431,-0.000249431,-0.156167,0.156167,1525,0.000278673,-0.000278673,-0.121337,0.121337,1361.25
0.2200,0.0495633,8.82395e-05,0.00576475,0.00874704,-0.00379135,-3.69982e-06,0.446752,0.0012097,0.0335751,0.0974886,-0.0327619,0.000149943,0.000108035,-0.000108035,-0.152804,0.152804,1525,0.000272824,-0.000272824,-0.128303,0.128303,1394
0.2400,0.0594732,0.000109822,0.00647336,0.0108951,-0.00450774,-5.77539e-06,0.495627,0.00137441,0.0335409,0.107403,-0.0358189,0.000209535,-8.5764e-05,8.5764e-05,-0.148627,0.148627,1525,0.000239866,-0.000239866,-0.133203,0.133203,1420.2
0.2600,0.0703769,0.000132979,0.00719253,0.0132047,-0.00528458,-8.625e-06,0.54534,0.00152589,0.0334861,0.115479,-0.0388414,0.000280711,-0.000331558,0.000331558,-0.144109,0.144109,1525,0.00017474,-0.00017474,-0.136288,0.136288,1441.16
