# Torpedo AUV simulation export
# L = 1.6
# diam = 0.19
# massa = 31.029384975800244
# Cd = 0.42
# r44 = 0.3
# T_surge = 20
# T_sway = 20
# T_heave = 20
# zeta_roll = 0.3
# zeta_pitch = 0.8
# T_yaw = 1
# K_nomoto = 0.25
# T_nomoto = 1
# wn_d = 0.1
# zeta_d = 1
# r_max = 0.08726646259971647
# lam = 0.1
# phi_b = 0.1
# K_d = 0.5
# K_sigma = 0.05
# wn_d_z = 0.02
# Kp_z = 0.1
# T_z = 100.0
# Kp_theta = 5.0
# Kd_theta = 2.0
# Ki_theta = 0.3
# K_w = 5.0
# ref_z = 30.0
# ref_psi = 45.0
# ref_n = 1525
# V_c = 0.0
# beta_c = 0.0
# fin_CL = [0.5, 0.5, 0.7, 0.7]
# fin_area = [0.00665, 0.00665, 0.00665, 0.00665]
# thruster_nMax = 1525
# current_model_type = PowerLawProfile
#
t_s,x_north_m,y_east_m,z_depth_m,phi_rad,theta_rad,psi_rad,u_ms,v_ms,w_ms,p_rads,q_rads,r_rads,delta_r_top_rad,delta_r_bottom_rad,delta_s_star_rad,delta_s_port_rad,n_cmd_rpm,delta_r_top_actual_rad,delta_r_bottom_actual_rad,delta_s_star_actual_rad,delta_s_port_actual_rad,n_actual_rpm
0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0.0059988,0.0059988,1525,0,0,0,0,0
0.0200,0,0,0,0,0,0,0,0,0,0,0,0,6.28319e-05,-6.28319e-05,-0.0120036,0.0120036,1525,0,0,-0.00119976,0.00119976,305
0.0400,5.26187e-05,2.70176e-07,0,2.63246e-05,-4.37353e-06,0,0.00263093,1.35088e-05,0,0.00131623,-0.000218677,0,0.000128051,-0.000128051,-0.0175552,0.0175552,1525,1.25664e-05,-1.25664e-05,-0.00336053,0.00336053,549
0.0600,0.000275364,1.38872e-06,8.84998e-10,0.000135336,-2.27598e-05,-3.71116e-10,0.0111373,5.59271e-05,-5.93161e-09,0.00545057,-0.000919313,5.64475e-09,0.000195627,-0.000195627,-0.0220787,0.0220787,1525,3.56634e-05,-3.56634e-05,-0.00619946,0.00619946,744.2
0.0800,0.000810832,3.99742e-06,-1.78229e-07,0.000389643,-6.66004e-05,-4.22685e-09,0.0267734,0.000130434,-9.58272e-06,0.0127153,-0.00219203,1.03874e-07,0.000265142,-0.000265142,-0.0252889,0.0252889,1525,6.76561e-05,-6.76561e-05,-0.00937531,0.00937531,900.36
0.1000,0.00179922,8.66755e-06,-3.14225e-07,0.000845041,-0.000146799,-2.25016e-08,0.0494192,0.000233503,-1.01821e-05,0.0227699,-0.00400994,6.48706e-07,0.000334911,-0.000334911,-0.0272776,0.0272776,1525,0.000107153,-0.000107153,-0.012558,0.012558,1025.29
0.1200,0.00337052,1.58347e-05,-3.22401e-07,0.00154414,-0.00027309,-8.06615e-08,0.0785654,0.000358351,-1.2245e-05,0.034955,-0.00631455,2.42806e-06,0.000401188,-0.000401188,-0.0280605,0.0280605,1525,0.000152705,-0.000152705,-0.0155019,0.0155019,1125.23
0.1400,0.00563773,2.5775e-05,-3.70177e-08,0.00251401,-0.000453504,-2.24957e-07,0.11336,0.000496994,-1.74559e-05,0.0484933,-0.00902068,6.71444e-06,0.000457936,-0.000457936,-0.0277591,0.0277591,1525,0.000202401,-0.000202401,-0.0180137,0.0180137,1205.18
0.1600,0.00869523,3.86048e-05,8.16647e-07,0.00376616,-0.00069429,-5.2677e-07,0.152875,0.000641456,-2.82588e-05,0.0626076,-0.0120393,1.51763e-05,0.000497259,-0.000497259,-0.0265075,0.0265075,1525,0.000253508,-0.000253508,-0.0199627,0.0199627,1269.15
0.1800,0.0126214,5.42915e-05,2.84753e-06,0.00529787,-0.00100012,-1.08535e-06,0.196311,0.000784303,-3.77065e-05,0.0765854,-0.0152916,2.96616e-05,0.000510447,-0.000510447,-0.0244742,0.0244742,1525,0.000302258,-0.000302258,-0.0212717,0.0212717,1320.32
0.2000,0.017477,7.26774e-05,6.71578e-06,0.0070941,-0.00137408,-2.0255e-06,0.242776,0.000919284,-5.42641e-05,0.0898115,-0.0186977,5.20512e-05,0.000488669,-0.000488669,-0.0217601,0.0217601,1525,0.000343896,-0.000343896,-0.0219122,0.0219122,1361.25
0.2200,0.0233079,9.35003e-05,1.32501e-05,0.00912972,-0.00181794,-3.49482e-06,0.29155,0.00104118,-8.12821e-05,0.101781,-0.0221933,8.3976e-05,0.000424337,-0.000424337,-0.0184678,0.0184678,1525,0.000372851,-0.000372851,-0.0218818,0.0218818,1394
0.2400,0.0301484,0.000116416,2.34503e-05,0.0113718,-0.00233243,-5.65886e-06,0.342021,0.00114589,-0.000122231,0.112101,-0.0257242,0.000126655,0.000311869,-0.000311869,-0.0146835,0.0146835,1525,0.000383148,-0.000383148,-0.021199,0.021199,1420.2
0.2600,0.0380218,0.000141018,3.84826e-05,0.0137815,-0.00291736,-8.69525e-06,0.393675,0.00123036,-0.000180608,0.120485,-0.0292462,0.000180766,0.000148294,-0.000148294,-0.0104783,0.0104783,1525,0.000368892,-0.000368892,-0.0198959,0.0198959,1441.16
0.2800,0.0469435,0.000166859,5.96711e-05,0.0163163,-0.00357182,-1.27874e-05,0.446085,0.00129249,-0.0002598,0.126742,-0.0327231,0.000246376,-6.64066e-05,6.64066e-05,-0.00591076,0.00591076,1525,0.000324773,-0.000324773,-0.0180124,0.0180124,1457.93
0.3000,0.0569215,0.000193468,8.84871e-05,0.0189318,-0.00429435,-1.81182e-05,0.498903,0.00133106,-0.000362956,0.130771,-0.0361257,0.000322916,-0.000329211,0.000329211,-0.0010299,0.0010299,1525,0.000246537,-0.000246537,-0.015592,0.015592,1471.34
0.3200,0.0679583,0.000220361,0.000126536,0.0215827,-0.00508297,-2.48644e-05,0.551842,0.00134557,-0.000492887,0.132545,-0.0394305,0.000409209,-0.000634175,0.000634175,0.00412264,-0.00412264,1525,0.000131387,-0.000131387,-0.0126796,0.0126796,1482.08
0.3400,0.0800517,0.00024706,0.000175547,0.0242248,-0.00593535,-3.31914e-05,0.604672,0.00133623,-0.000651984,0.132104,-0.0426184,0.000503522,-0.000972718,0.000972718,0.00951023,-0.00951023,1525,-2.17252e-05,2.17252e-05,-0.00931916,0.00931916,1490.66
0.3600,0.0931957,0.0002731,0.000237355,0.0268157,-0.00684885,-4.32485e-05,0.657207,0.00130379,-0.000842164,0.12954,-0.0456737,0.000603657,-0.00133404,0.00133404,0.0150994,-0.0150994,1525,-0.000211924,0.000211924,-0.00555328,0.00555328,1497.53
0.3800,0.107381,0.000298039,0.000313894,0.0293156,-0.00782056,-5.5166e-05,0.709298,0.0012495,-0.00106483,0.124994,-0.0485838,0.000707048,-0.00170561,0.00170561,0.0208583,-0.0208583,1525,-0.000436347,0.000436347,-0.00142275,0.00142275,1503.02
0.4000,0.122598,0.000321464,0.000407178,0.0316885,-0.00884735,-6.90515e-05,0.760826,0.00117502,-0.00132086,0.11864,-0.0513378,0.000810878,-0.00207375,0.00207375,0.0267555,-0.0267555,1525,-0.0006902,0.0006902,0.00303346,-0.00303346,1507.42
0.4200,0.138831,0.000342999,0.000519295,0.0339023,-0.00992591,-8.49885e-05,0.811698,0.00108234,-0.00161057,0.11068,-0.0539264,0.000912201,-0.00242416,0.00242416,0.032759,-0.032759,1525,-0.00096691,0.00096691,0.00777786,-0.00777786,1510.93
0.4400,0.156068,0.000362309,0.000652392,0.0359292,-0.0110528,-0.000103035,0.861839,0.000973724,-0.00193377,0.101336,-0.0563417,0.00100806,-0.00274255,0.00274255,0.0388358,-0.0388358,1525,-0.00125836,0.00125836,0.0127741,-0.0127741,1513.75
