# Torpedo AUV simulation export
# L = 1.6
# diam = 0.19
# massa = 31.029384975800244
# Cd = 0.42
# r44 = 0.3
# T_surge = 20
# T_sway = 20
# T_heave = 20
# zeta_roll = 0.3
# zeta_pitch = 0.8
# T_yaw = 1
# K_nomoto = 0.25
# T_nomoto = 1
# wn_d = 0.1
# zeta_d = 1
# r_max = 0.08726646259971647
# lam = 0.1
# phi_b = 0.1
# K_d = 0.5
# K_sigma = 0.05
# wn_d_z = 0.02
# Kp_z = 0.1
# T_z = 100.0
# Kp_theta = 5.0
# Kd_theta = 2.0
# Ki_theta = 0.3
# K_w = 5.0
# ref_z = 30.0
# ref_psi = 45.0
# ref_n = 1525
# V_c = 0.0
# beta_c = 0.0
# fin_CL = [0.5, 0.5, 0.7, 0.7]
# fin_area = [0.00665, 0.00665, 0.00665, 0.00665]
# thruster_nMax = 1525
# current_model_type = GaussMarkovCurrent
#
t_s,x_north_m,y_east_m,z_depth_m,phi_rad,theta_rad,psi_rad,u_ms,v_ms,w_ms,p_rads,q_rads,r_rads,delta_r_top_rad,delta_r_bottom_rad,delta_s_star_rad,delta_s_port_rad,n_cmd_rpm,delta_r_top_actual_rad,delta_r_bottom_actual_rad,delta_s_star_actual_rad,delta_s_port_actual_rad,n_actual_rpm
0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0.0059988,0.0059988,1525,0,0,0,0,0
0.0200,0.000672461,0,0.000152872,0,-5.58932e-05,0,0.033623,0,0.00764358,0,-0.00279466,0,6.28319e-05,-6.28319e-05,-0.0442763,0.0442763,1525,0,0,-0.00119976,0.00119976,305
0.0400,0.00194128,2.59848e-07,0.000424853,2.53183e-05,-0.000159772,3.10517e-24,0.0634418,1.29924e-05,0.0135955,0.00126592,-0.00519395,1.55259e-22,0.000128051,-0.000128051,-0.0745925,0.0745925,1525,1.25664e-05,-1.25664e-05,-0.00981506,0.00981506,549
0.0600,0.00387065,1.33297e-06,0.000801629,0.000130148,-0.00031588,-1.02741e-09,0.0964712,5.41327e-05,0.0188234,0.00524149,-0.00780539,1.46249e-07,0.000194953,-0.000194953,-0.100555,0.100555,1525,3.56634e-05,-3.56634e-05,-0.0227705,0.0227705,744.2
0.0800,0.00654835,3.82546e-06,0.00127015,0.000374477,-0.000530373,-9.14061e-09,0.133892,0.000127668,0.0233839,0.0122165,-0.0107247,9.90134e-07,0.000260896,-0.000260896,-0.122233,0.122233,1525,6.75213e-05,-6.75213e-05,-0.0383275,0.0383275,900.36
0.1000,0.00997665,8.27187e-06,0.00180023,0.000811518,-0.000801835,-3.8817e-08,0.171429,0.000232213,0.0264127,0.021852,-0.0135731,3.59901e-06,0.000320776,-0.000320776,-0.136083,0.136083,1525,0.000106196,-0.000106196,-0.0551086,0.0551086,1025.29
0.1200,0.0141844,1.50799e-05,0.00237141,0.00148206,-0.00113094,-1.17724e-07,0.210412,0.000363448,0.0283899,0.0335272,-0.0164553,9.40839e-06,0.000367743,-0.000367743,-0.144302,0.144302,1525,0.000149112,-0.000149112,-0.0713034,0.0713034,1125.23
0.1400,0.0192261,2.45051e-05,0.00297292,0.00241219,-0.00152042,-2.92816e-07,0.252119,0.000515442,0.0297896,0.0465064,-0.019474,2.01071e-05,0.000393762,-0.000393762,-0.149047,0.149047,1525,0.000192838,-0.000192838,-0.0859031,0.0859031,1205.18
0.1600,0.0251366,3.66593e-05,0.00359443,0.00361312,-0.00197112,-6.29558e-07,0.29557,0.000681672,0.0306246,0.0600466,-0.0225348,3.75212e-05,0.000390173,-0.000390173,-0.150572,0.150572,1525,0.000233023,-0.000233023,-0.0985319,0.0985319,1269.15
0.1800,0.0319477,5.15201e-05,0.00422912,0.00508252,-0.00248355,-1.21419e-06,0.340618,0.000855483,0.0310605,0.07347,-0.0256215,6.33424e-05,0.00034899,-0.00034899,-0.149737,0.149737,1525,0.000264453,-0.000264453,-0.10894,0.10894,1320.32
